SITE_NAME,COEFF_VARIATION
0151KO,0.040672660455174627
0152BB,1.4828602003957656
0152BR,0.0895588829570784
0152KO,0.10416157853967394
0153BB,0.046824171791691474
0153BR,0.6943254724695298
0153KO,0.11421034631823454
0154BB,0.0398694291698387
0154BR,0.16673649210855557
0154KO,0.1092140016706347
0155BB,1.4727913135589357
0155BR,0.0665115559534524
0155KO,0.05425033282848718
0156BB,0.1993444240183776
0156BR,0.1709973203872088
0156KO,0.1902529116706497
0157BB,0.038723328383545474
0157BR,0.022707382824537804
0157KO,0.040301711337730375
0158BB,0.09009562014290284
0158BR,0.12127039643672463
0158KO,0.18176424878315467
0159BR,0.11301850175191414
0159KO,0.17427890368064655
0160BR,0.10163239429254561
0160KO,0.0639545711193398
0161BB,0.001432042491390912
0161BR,0.6575570487992133
0161KO,0.2757399428322864
0162BB,0.0708339863946086
0162BR,0.06939961556350968
0162KO,1.3680569056718026
0163BB,0.05105716972626436
0163BR,0.00020570379089063202
0163KO,0.15869526568834136
0164BB,0.69967677061022
0164BR,0.6091958609304428
0165BB,0.12989879852484257
0165BR,0.2583039455908928
0166BB,0.07805867862498729
0166BR,0.04092251892387012
0166KO,0.248056924253789
0167BB,0.04569617611723499
0167BR,0.7945337691656775
0167KO,0.03340906668610212
0168BB,0.0748224200693875
0168BR,0.331080209254867
0168KO,0.06739188192343054
0169BB,1.460344201101736
0169BR,0.5066258938860084
0169KO,1.1822942704867412
0170BB,0.18018123143775897
0170BR,0.5760404753359368
0170KO,1.4200006645912548
0171BB,0.011839096320608755
0171BR,0.12142813942821919
0171KO,0.09811418785098329
0172BB,0.040655526812523456
0172BR,0.6756066658469863
0172KO,0.03138965285802412
0173BB,0.06267273620938675
0173BR,0.038823116505586494
0173KO,0.00037289366389165433
0174BR,0.49591507688747133
0174KO,1.1633645750520603
0175BB,0.02968447393912093
0175BR,0.803597892046861
0175KO,1.1788368911486469
0176BB,0.245216211223605
0176BR,0.7264970262434826
0176KO,1.4964524888326818
0177BB,0.03985467191659913
0177BR,0.812326618689376
0177KO,0.11909497181854739
0178BB,0.0017231496843536406
0178BR,0.059878617824965306
0178KO,0.8661158902360825
0179BB,0.09083746733815237
0179BR,0.3822262576191344
0179KO,0.011809226783074564
0180BB,0.0017366866162667174
0180BR,0.31030190841539534
0180KO,0.5416597031316366
